1.E4BAAB|キョウ;コウ#う.ける#たか;たかし;とおる;みち|enjoy, receive, undergo, answer (phone), take, get, catch|recevoir, accepter, répondre (téléphone), prendre, obtenir|recibir tratamiento, recibir atención, conseguir, divertir|
1.E4BAAC|キョウ;ケイ;キン#みやこ#たか|capital, 10**16|capitale, 10**16|capital|
1.E4BAAD|テイ;チン##|pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name|pavillon, restaurant, résidence, tonnelle, variétés, music hall, nom de scène|restaurante, parador|
1.E4BAAE|リョウ#あきらか#あき;すけ;まこと;あきら;よし;きょう;たすく;ふさ|clear, help||claro, luminoso, ayudar, verdad|
1.E4BAAF|キョウ;コウ#う.ける#|to receive, to enjoy|||
1.E4BAB0|キョウ;ケイ;キン#みやこ#|capital city|||
1.E4BAB3|ハク##|an ancient Chinese capital|||
1.E4BAB6|タン;セン#あつ.い;ほしいまま#|truly, wholly, cordial|||
1.E4BAB9|ビ;ミ;ボン;モン#つと.める;うつく.しい#|progress, busy, untiring, exert|||
1.E4BABA|ジン;ニン#ひと;-り;-と#じ;と;ね;ひこ;ふみ|person|être humain, personne|persona|
1.E4BABB|##|radical number 9|||
1.E4BABC|シュウ;ジュウ#あつまる#|to assemble. to gather together|||
1.E4BB80|ジュウ;シュウ##|utensil, thing, ten|||
1.E4BB81|ジン;ニ;ニン##きみ;く;さと;しのぶ;じ;と;のり;ひと;ひとし;ひろ;まさ;まさし;やす;よし|humanity, virtue, benevolence, charity, man, kernel|humanité, vertu, bienveillance, charité, grandeur d'âme, homme, noyau|humanidad, benevolencia, bondad, caridad|
1.E4BB82|ドウ;リュク;リキ;ロク;リョク#はたら.く#|surplus or excess, remainder|||
1.E4BB83|テイ##|lonely, solitary|||
1.E4BB84|ソク#ほの.か;ほの-;ほの.めかす;ほの.めく;かたむ.く#|be seen dimly, suggest, intimate, faint, stupid, hint|||
1.E4BB86|フ#たお.れる#|fall, lie down, bend|||
1.E4BB87|キュウ;グ#あだ;あた;かたき;つれあい#|foe, enemy, revenge, grudge, feud||enemigo, venganza, rencor|
1.E4BB88|ハツ;ハチ##||||
1.E4BB8A|コン;キン#いま#な|now|maintenant|ahora, momento actual|
1.E4BB8B|カイ##すけ;ゆき|jammed in, shellfish, mediate, concern oneself with|immixtion, coquillage, intervention, intermédiaire, s'occuper de|intervención, ayuda, mediación, cosa aburrida|
1.E4BB8D|ジョウ;ニョウ#よ.って;しきりに;なお;よる#|therefore, consequently|||
1.E4BB8E|ショウ;ジュウ;ジュ#したが.う;したが.える;より#|two people|||
1.E4BB8F|ブツ;フツ#ほとけ#|Buddha, the dead, France|Bouddha, France, défunt|Buda, Francia, muerto, difunto|
1.E4BB90|サン#かさ#||||
1.E4BB94|シ#こ;た.える#|offspring (animal), detailed, fine|||
1.E4BB95|シ;ジ#つか.える#|attend, doing, official, serve|servir, faire, officiel|trabajo, servir, asistir|
1.E4BB96|タ#ほか#|other, another, the others|autre, un autre, les autres|otro, los demás|
1.E4BB97|ジョウ;チョウ#つえ;つわもの;まわり;よる#|cane, stick|||
1.E4BB98|フ#つ.ける;-つ.ける;-づ.ける;つ.け;つ.け-;-つ.け;-づ.け;-づけ;つ.く;-づ.く;つ.き;-つ.き;-つき;-づ.き;-づき#つけ|adhere, attach, refer to, append|coller, attacher, soumettre à, ajouter|adherir, pegar, adjuntar, unir, atar|
1.E4BB99|セン;セント##そま;のり|hermit, wizard, cent|ermite, magicien, centime, sacrum|ermitaño|
1.E4BB9A|ケン#とぶ#|to fly|||
1.E4BB9B|タ;タク#おとめ;よ.る#|young girl, strange, different|||
