KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
yubisaki, 指先, fingertip, , |yubisaki|指先|fingertip|Noun|Anatomy|||||||
karada, 体, body, , |karada|体|body|Noun|Anatomy|||184, 1306||||
mimi, 耳, ear, , |mimi|耳|ear|Noun|Anatomy|||185||||
hana, 鼻, nose, , |hana|鼻|nose|Noun|Anatomy|||||||
ashi, 脚, 肢, leg, , |ashi|脚, 肢|leg|Noun|Anatomy|||186||||
atama, 頭, head, , |atama|頭|head|Noun|Anatomy|||187||||
nyou, 尿, urine, , |nyou|尿|urine|Noun|Anatomy|||||||
shita, 舌, tongue, , |shita|舌|tongue|Noun|Anatomy|||||||
ransou, 卵巣, ovary, , |ransou|卵巣|ovary|Noun|Anatomy|||||||
shinzou, 心臓, heart, , |shinzou|心臓|heart|Noun|Anatomy|||||||
hai, 肺, lung, , |hai|肺|lung|Noun|Anatomy|||||||
nodo, 喉, throat, , |nodo|喉|throat|Noun|Anatomy|||||||
kintama, 金玉, testicles, testes, , |kintama|金玉|testicles, testes|Noun|Anatomy|colloquialism, lit. "golden balls"||||||
shikyuu, 子宮, womb, uterus, , |shikyuu|子宮|womb, uterus|Noun|Anatomy|||||||
hanamizu, 鼻水, nasal mucus, snot, dripping nose, , |hanamizu|鼻水|nasal mucus, snot, dripping nose|Noun|Anatomy|||||||
kintama bukuro, 金玉袋, ball sack, scrotum, testicle sack, , |kintama bukuro|金玉袋|ball sack, scrotum, testicle sack|Noun|Anatomy|||||||
ashi, 足, foot, feet, , |ashi|足|foot, feet|Noun|Anatomy|||||||
shintai, 身体, body, health, , |shintai|身体|body, health|Noun|Anatomy|||||||
doutai, 胴体, body, trunk, torso, , |doutai|胴体|body, trunk, torso|Noun|Anatomy|||||||
hitomi, 瞳, eye pupil, eye, 眸, |hitomi|瞳|eye pupil, eye|Noun|Anatomy||||||眸|
zouki, 臓器, internal organs, viscera, intestines, , |zouki|臓器|internal organs, viscera, intestines|Noun|Anatomy|||||||
dou, 胴, body, trunk, torso, abdomen, waist, , |dou|胴|body, trunk, torso, abdomen, waist|Noun|Anatomy|||||||
kobushi, 拳, fist, , |kobushi|拳|fist|Noun|Anatomy|||||||
ashikubi, 足首, ankle, , |ashikubi|足首|ankle|Noun|Anatomy|||||||
oshiri, お尻, buttocks, 御尻, |oshiri|お尻|buttocks|Noun|Anatomy||||||御尻|
ago, 顎, 齶, 頤, 顋, chin, jaw, , |ago|顎, 齶, 頤, 顋|chin, jaw|Noun|Anatomy|||||||
hone, 骨, bone, , |hone|骨|bone|Noun|Anatomy|||||||
ashi no ura, 足の裏, sole of foot, , |ashi no ura|足の裏|sole of foot|Noun|Anatomy|||||||
kuchibiru, 唇, lips, , |kuchibiru|唇|lips|Noun|Anatomy|||||||
uroko, 鱗, scale (of fish), , |uroko|鱗|scale (of fish)|Noun|Anatomy|||||||
nekubi, 寝首, head of a sleeping person, , |nekubi|寝首|head of a sleeping person|Noun|Anatomy|||||||
koshi, 腰, waist, , |koshi|腰|waist|Noun|Anatomy|||||||
tekubi, 手首, wrist, , |tekubi|手首|wrist|Noun|Anatomy|||||||
kosshi, 骨子, bones, marrow, essentials, , |kosshi|骨子|bones, marrow, essentials|Noun|Anatomy|||||||
jinkotsu, 人骨, human bones, , |jinkotsu|人骨|human bones|Noun|Anatomy|||||||
chichi, 乳, breasts, milk, , |chichi|乳|breasts, milk|Noun|Anatomy|||||||
honemi, 骨身, flesh and bones, , |honemi|骨身|flesh and bones|Noun|Anatomy|||||||
kata, 肩, shoulder, , |kata|肩|shoulder|Noun|Anatomy|||||||
ago, 顎, chin, jaw, , |ago|顎|chin, jaw|Noun|Anatomy|||||||
aza, 痣, birthmark, nevus, bruise, tache de vin, envie, , |aza|痣|birthmark, nevus, bruise, tache de vin, envie|Noun|Anatomy|||||||
jouwannitoukin, 上腕二頭筋, biceps, , |jouwannitoukin|上腕二頭筋|biceps|Noun|Anatomy|||||||
kinniku, 筋肉, muscle, sinew, , |kinniku|筋肉|muscle, sinew|Noun|Anatomy|||||||
ude, 腕, arm, , |ude|腕|arm|Noun|Anatomy|||||||
hane, 羽, 羽根, 羽子, feather, plume, wing, blade, , |hane|羽, 羽根, 羽子|feather, plume, wing, blade|Noun|Anatomy|||||||
chikubi, 乳首, nipple, teat, , |chikubi|乳首|nipple, teat|Noun|Anatomy|||||||
hane, 翅, insect wing, , |hane|翅|insect wing|Noun|Anatomy|||||||
nou, 脳, brain, mind, , |nou|脳|brain, mind|Noun|Anatomy|||||||
ke, 毛, hair, fur, , |ke|毛|hair, fur|Noun|Anatomy|||||||
senaka, 背中, back, , |senaka|背中|back|Noun|Anatomy|||||||
hiji, 肘, elbow, , |hiji|肘|elbow|Noun|Anatomy|||||||
nikutai, 肉体, the body, the flesh, , |nikutai|肉体|the body, the flesh|Noun|Anatomy|||||||
chou, 腸, guts, bowels, intestines, , |chou|腸|guts, bowels, intestines|Noun|Anatomy|||||||
hiza, 膝, knee, , |hiza|膝|knee|Noun|Anatomy|||||||
shitai, 死体, corpse, cadaver, dead body, , |shitai|死体|corpse, cadaver, dead body|Noun|Anatomy|||||||
shitai, 肢体, limbs, members, body, , |shitai|肢体|limbs, members, body|Noun|Anatomy|||||||
shitai, 四体, whole body, , |shitai|四体|whole body|Noun|Anatomy|The four parts of the body - head, trunk, arms and legs||||||
se, 背, back, , |se|背|back|Noun|Anatomy|||||||
ashi no yubi, 足の指, toes, , |ashi no yubi|足の指|toes|Noun|Anatomy|||||||
kubi, 首, neck, head, unemployed person, , |kubi|首|neck, head, unemployed person|Noun|Anatomy|||||||
chi, 血, blood, consanguinity, , |chi|血|blood, consanguinity|Noun|Anatomy|||||||
yubi, 指, finger, toe, digit, , |yubi|指|finger, toe, digit|Noun|Anatomy|||||||
mayuge, 眉毛, eyebrows, , |mayuge|眉毛|eyebrows|Noun|Anatomy|||||||
matsuge, 睫毛, eyelashes, , |matsuge|睫毛|eyelashes|Noun|Anatomy|||||||
hara, 腹, abdomen, belly, stomach, intentions, motive, , |hara|腹|abdomen, belly, stomach, intentions, motive|Noun|Anatomy|||||||
tsume, 爪, nail, claw, talon, hoof, pick, hook, clasp, fingernails, , |tsume|爪|nail, claw, talon, hoof, pick, hook, clasp, fingernails|Noun|Anatomy|||||||
suutsu, スーツ, suit, , |suutsu|スーツ|suit|Noun|Attire|||188||||
fuku, youfuku, 服, clothes, , |fuku, youfuku|服|clothes|Noun|Attire|||189||||
youfuku, 洋服, western clothes, , |youfuku|洋服|western clothes|Noun|Attire|||190||||
boushi, 帽子, hat, cap, , |boushi|帽子|hat, cap|Noun|Attire|||191||||
mafuraa, マフラー, muffler, winter scarf, , |mafuraa|マフラー|muffler, winter scarf|Noun|Attire|||||||
kutsu, 靴, shoe, , |kutsu|靴|shoe|Noun|Attire|||192, 1349||||
zubon, ズボン, pants, , |zubon|ズボン|pants|Noun|Attire|||193||||
sukaafu, スカーフ, scarf, , |sukaafu|スカーフ|scarf|Noun|Attire|||||||
sentaku, 洗濯, laundry, washing, , |sentaku|洗濯|laundry, washing|Noun|Attire|||194||||
kooto, コート, coat, , |kooto|コート|coat|Noun|Attire|||195||||
surippa, スリッパ, slipper, , |surippa|スリッパ|slipper|Noun|Attire|||196||||
burausu, ブラウス, blouse, , |burausu|ブラウス|blouse|Noun|Attire|||||||
shitagi, 下着, underwear, , |shitagi|下着|underwear|Noun|Attire|||||||
hachimaki, 鉢巻, headband, , |hachimaki|鉢巻|headband|Noun|Attire|||||||
jiinzu, ジーンズ, jeans, , |jiinzu|ジーンズ|jeans|Noun|Attire|||1384||||
masuku, マスク, mask, , |masuku|マスク|mask|Noun|Attire|||||||
sebiro, 背広, blouse, , |sebiro|背広|blouse|Noun|Attire|||197||||
bousaizukin, 防災頭巾, disaster hood, protective hood worn during earthquakes and other disasters (e.g. to protect from falling objects), , |bousaizukin|防災頭巾|disaster hood, protective hood worn during earthquakes and other disasters (e.g. to protect from falling objects)|Noun|Attire|||||||
wanpiisu, ワンピース, one-piece clothing, , |wanpiisu|ワンピース|one-piece clothing|Noun|Attire|||||||
botan, ボタン, button, , |botan|ボタン|button|Noun|Attire|||198, 199||||
beruto, ベルト, belt, , |beruto|ベルト|belt|Noun|Attire|||||||
shatsu, シャツ, shirt, , |shatsu|シャツ|shirt|Noun|Attire|||200||||
waishatsu, ワイシャツ, Y-shirt, business shirt, , |waishatsu|ワイシャツ|Y-shirt, business shirt|Noun|Attire|||201||||
seetaa, セーター, sweater, , |seetaa|セーター|sweater|Noun|Attire|||201||||
kimono, 着物, kimono, , |kimono|着物|kimono|Noun|Attire|||||||
kutsushita, 靴下, sock, , |kutsushita|靴下|sock|Noun|Attire|||202||||
nekutai, ネクタイ, necktie, , |nekutai|ネクタイ|necktie|Noun|Attire|||305||||
beruto, ベルト, belt, , |beruto|ベルト|belt|Noun|Attire|||||||
tebukuro, 手袋, glove, mitten, mitt, , |tebukuro|手袋|glove, mitten, mitt|Noun|Attire|||||||
oobaa, オーバー, overcoat, , |oobaa|オーバー|overcoat|Noun|Attire|||||||
sandaru, サンダル, sandal, , |sandaru|サンダル|sandal|Noun|Attire|||||||
kontakutorenzu, コンタクトレンズ, contact lens, , |kontakutorenzu|コンタクトレンズ|contact lens|Noun|Attire|||||||
herumeto, ヘルメット, helmet, , |herumeto|ヘルメット|helmet|Noun|Attire|||||||
megane, gankyou, 眼鏡, glasses, , |megane, gankyou|眼鏡|glasses|Noun|Attire|||203||||
sangurasu, サングラス, sunglasses, , |sangurasu|サングラス|sunglasses|Noun|Attire|||||||
zouri, 草履, zori, sandal, , |zouri|草履|zori, sandal|Noun|Attire|Reserved for Japanese sandals||||||
mizugi, 水着, bathing suit, swimsuit, , |mizugi|水着|bathing suit, swimsuit|Noun|Attire|||204||||
takishiido, タキシード, tuxedo, , |takishiido|タキシード|tuxedo|Noun|Attire|||205||||
buraakutai, ブラックタイ, black tie, , |buraakutai|ブラックタイ|black tie|Noun|Attire|As of the event||206||||
reinkooto, レインコート, raincoat, , |reinkooto|レインコート|raincoat|Noun|Attire|||207||||
uwagi, 上着, coat, jacket, outerwear, , |uwagi|上着|coat, jacket, outerwear|Noun|Attire|||208||||
sukaato, スカート, skirt, , |sukaato|スカート|skirt|Noun|Attire|||209||||
iro, 色, color, , |iro|色|color|Noun|Color|||210||||
aka, 赤, red, , |aka|赤|red|Noun|Color|||||||
kiiro, 黄色, yellow, , |kiiro|黄色|yellow|Noun|Color|||||||
kuro, 黒, black, , |kuro|黒|black|Noun|Color|||211||||
murasaki, 紫, purple, , |murasaki|紫|purple|Noun|Color|||||||
nezumiiro, ネズミ色, grey, , |nezumiiro|ネズミ色|grey|Noun|Color|||||||
haiiro, 灰色, grey, ashen, , |haiiro|灰色|grey, ashen|Noun|Color|||||||
guree, グレー, grey, , |guree|グレー|grey|Noun|Color|||||||
kurige, 栗毛, chestnut, , |kurige|栗毛|chestnut|Noun|Color|||||||
ao, 青, blue, , |ao|青|blue|Noun|Color|||||||
buryuu, ブリュー, blue, , |buryuu|ブリュー|blue|Noun|Color|||||||
chairo, 茶色, brown, , |chairo|茶色|brown|Noun|Color|||212||||
shiro, 白, white, , |shiro|白|white|Noun|Color|||||||
midoriiro, 緑色, green, , |midoriiro|緑色|green|Noun|Color|||||||
guriin, クリーン, green, , |guriin|クリーン|green|Noun|Color|||||||
pinku, ピンク, pink, , |pinku|ピンク|pink|Noun|Color|||||||
makka, 真っ赤, bright red, deep red, , |makka|真っ赤|bright red, deep red|Noun|Color|||||||
kin'iro, 金色, golden, kiniro, |kin'iro|金色|golden|Noun|Color||||||kiniro|
kokusei, 国政, nationality, , |kokusei|国政|nationality|Noun|Nation|||||||
nihon, 日本, Japan, , |nihon|日本|Japan|Noun|Nation|||213, 1341||||
furansu, フランス, France, , |furansu|フランス|France|Noun|Nation|||214||||
doitsu, ドイツ, Germany, , |doitsu|ドイツ|Germany|Noun|Nation|||||||
kanada, カナダ, Canada, , |kanada|カナダ|Canada|Noun|Nation|||||||
chuugoku, 中国, China, , |chuugoku|中国|China|Noun|Nation|||1341||||
kankoku, 韓国, Korea, , |kankoku|韓国|Korea|Noun|Nation|||||||
indo, インド, India, , |indo|インド|India|Noun|Nation|||||||
seiyou, 西洋, the West, Western countries, , |seiyou|西洋|the West, Western countries|Noun|Nation|||||||
igirisu, イギリス, United kingdom, , |igirisu|イギリス|United kingdom|Noun|Nation|||||||
oubei, 欧米, Europe and America,the West, , |oubei|欧米|Europe and America,the West|Noun|Nation|||||||
gaikoku, 外国, foreign country, , |gaikoku|外国|foreign country|Noun|Nation|||215||||
takoku, 他国, foreign country, foreign province, , |takoku|他国|foreign country, foreign province|Noun|Nation|||||||
kuni, okuni, 国, お国, country, nation, , |kuni, okuni|国, お国|country, nation|Noun|Nation|||216||||
shoukoku, 小国, small country, , |shoukoku|小国|small country|Noun|Nation|||||||
sengoku, 戦国, blligerent country, country in civil war, warring states, , |sengoku|戦国|blligerent country, country in civil war, warring states|Noun|Nation|||||||
igirisu, イギリス, England, , |igirisu|イギリス|England|Noun|Nation|||||||
amerika, アメリカ, United States of America, USA, , |amerika|アメリカ|United States of America, USA|Noun|Nation|||289||||
chichi, 父, father, , |chichi|父|father|Noun|Family|Used when the speaker is of the same family.||217, 1385||||
chichioya, 父親, father, , |chichioya|父親|father|Noun|Family|||||||
oyaji, 親父, one's father, old man, one's boss, , |oyaji|親父|one's father, old man, one's boss|Noun|Family|||||||
otousan, お父さん, someone else's father, , |otousan|お父さん|someone else's father|Noun|Family|Used when the speaker is of another family or when referring to that person within the family.||218||||
haha, 母, mother, , |haha|母|mother|Noun|Family|Used when the speaker is of the same family.||219||||
hahaoya, 母親, mother, , |hahaoya|母親|mother|Noun|Family|||||||
okaasan, お母さん, someone else's mother, , |okaasan|お母さん|someone else's mother|Noun|Family|Used when the speaker is of another family or when referring to that person within the family.||220, 1339||||
ryoushin, 両親, one's parents, , |ryoushin|両親|one's parents|Noun|Family|||221||||
oya, 親, parent, parents, art dealer, founder, pet owner, , |oya|親|parent, parents, art dealer, founder, pet owner|Noun|Family|||||||
fubo, 父母, father and mother, parents, , |fubo|父母|father and mother, parents|Noun|Family|||||||
shujin, 主人, husband, , |shujin|主人|husband|Noun|Family|Used when the speaker is of the same family.||||||
goshujin, ご主人, 御主人, husband, , |goshujin|ご主人, 御主人|husband|Noun|Family|Honorable, used when the speaker is of another family (when referring to that person within the family, their name is used instead).||222||||
otto, 夫, husband, , |otto|夫|husband|Noun|Family|||||||
tsuma, 妻, wife, , |tsuma|妻|wife|Noun|Family|Used when the speaker is of the same family.||||||
kanai, 家内, wife, housewife, , |kanai|家内|wife, housewife|Noun|Family|Used when the speaker is of the same family.||223||||
okusan, 奥さん, someone else's wife, , |okusan|奥さん|someone else's wife|Noun|Family|Used when the speaker is of another family (when referring to that person within the family, their name is used instead).||224||||
mama, ママ, mama, mother, female proprietress, , |mama|ママ|mama, mother, female proprietress|Noun|Family|||||||
okosan, お子さん, someone else's child, , |okosan|お子さん|someone else's child|Noun|Family|||||||
musuko, 息子, son, , |musuko|息子|son|Noun|Family|Humble form. Used when the speaker is of the same family.||1361||||
musume, 娘, girl, daughter, , |musume|娘|girl, daughter|Noun|Family|Used when the speaker is of the same family.||||||
ojousan, お嬢さん, daughter, young lady, , |ojousan|お嬢さん|daughter, young lady|Noun|Family|||||||
hitorikko, 一人っ子, only child in the family, , |hitorikko|一人っ子|only child in the family|Noun|Family|Used when the speaker is of the same family.||||||
hitorigo, 一人子, only child in the family, , |hitorigo|一人子|only child in the family|Noun|Family|Used when the speaker is of another family or when referring to that person within the family.||||||
kyoudai, 兄弟, sibling, brothers and sisters, , |kyoudai|兄弟|sibling, brothers and sisters|Noun|Family|||225||||
otoko no kyoudai, 男の兄弟, brother, , |otoko no kyoudai|男の兄弟|brother|Noun|Family|||||||
onna no kyoudai, 女の兄弟, sister, , |onna no kyoudai|女の兄弟|sister|Noun|Family|||||||
shimai, 姉妹, sisters, , |shimai|姉妹|sisters|Noun|Family|||||||
ani, 兄, my older brother, big brother, |ani|兄|my older brother|Noun|Family|Used when the speaker is of the same family.||226|||big brother|
aniki, 兄貴, my older brother, my senior, big brother, |aniki|兄貴|my older brother, my senior|Noun|Family|Used when the speaker is of the same family.||226|||big brother|
oniisan, お兄さん, someone else's older brother, big brother, |oniisan|お兄さん|someone else's older brother|Noun|Family|Used when the speaker is of another family or when referring to that person within the family.||227|||big brother|
